iter	Logloss
0	0.647524445
1	0.6055012896
2	0.5737015677
3	0.5478133189
4	0.5269684093
5	0.5110348036
6	0.4945565199
7	0.4864733645
8	0.4807027486
9	0.4670045706
10	0.463187613
11	0.4526333479
12	0.4443816833
13	0.4349036181
14	0.4302551282
15	0.4246290872
16	0.4210297314
17	0.4158298179
18	0.4101000894
19	0.4051036606
20	0.401372547
21	0.4003462411
22	0.394857881
23	0.390078873
24	0.3855993639
25	0.3827551281
26	0.3783508052
27	0.3750092198
28	0.3726711896
29	0.3725402957
30	0.3701412514
31	0.3675659115
32	0.3658455027
33	0.3634024867
34	0.3632895803
35	0.3604022835
36	0.3602102495
37	0.3601529532
38	0.355827953
39	0.3523153071
40	0.3499477736
41	0.3478524654
42	0.3469411001
43	0.3436665141
44	0.341588157
45	0.3378621864
46	0.3352039239
47	0.3329445014
48	0.3305586053
49	0.3278953801
50	0.3278837123
51	0.3271980198
52	0.3252937022
53	0.3228389295
54	0.3212591158
55	0.3202002317
56	0.3179053065
57	0.3155163675
58	0.3137009092
59	0.3125395412
60	0.3109729697
61	0.3096325236
62	0.3077988918
63	0.3069590118
64	0.3049530882
65	0.3034918613
66	0.3020928144
67	0.3002451766
68	0.2973898183
69	0.295956579
70	0.2959090087
71	0.2958947798
72	0.2950783073
73	0.2937921427
74	0.2917946466
75	0.2908774135
76	0.2901451683
77	0.2886072507
78	0.2871212075
79	0.2871198516
80	0.2850563365
81	0.2833275462
82	0.283326132
83	0.2830476776
84	0.2818043403
85	0.2808020382
86	0.2792926065
87	0.2779254879
88	0.2766058564
89	0.2751922134
90	0.2743504058
91	0.273514965
92	0.2716039472
93	0.2706204789
94	0.2694436444
95	0.2687925219
96	0.2670597257
97	0.2657508262
98	0.2643375269
99	0.2628729459
100	0.2616723539
101	0.2606925039
102	0.2592001339
103	0.2579635782
104	0.2567143757
105	0.2554713011
106	0.2547427344
107	0.2538390751
108	0.25295146
109	0.2515884842
110	0.250557498
111	0.2496000332
112	0.2488751839
113	0.2481811511
114	0.2468485947
115	0.2452099281
116	0.2439157085
117	0.2432996552
118	0.2425761912
119	0.2418014185
120	0.2409195014
121	0.2399329269
122	0.238818516
123	0.2379230039
124	0.2368975066
125	0.2360049672
126	0.2351856525
127	0.2340642446
128	0.2330821765
129	0.2321831655
130	0.2312796569
131	0.230846615
132	0.2300349501
133	0.2293693878
134	0.2284042351
135	0.2275619619
136	0.2264050474
137	0.2253748038
138	0.2246744
139	0.2237932139
140	0.2231424659
141	0.2223359369
142	0.2217929092
143	0.2209887639
144	0.2205028064
145	0.2198591884
146	0.2190096954
147	0.2183649407
148	0.2178610195
149	0.2172396474
150	0.2162616164
151	0.2152096371
152	0.2149630088
153	0.2140753949
154	0.2133818068
155	0.2127338038
156	0.2122008393
157	0.2117106348
158	0.2112408123
159	0.2106003562
160	0.2099462444
161	0.2089724994
162	0.2081262528
163	0.2078393478
164	0.2070955519
165	0.2065951265
166	0.2058664389
167	0.2049150735
168	0.2042486567
169	0.2038374218
170	0.203176996
171	0.2023148541
172	0.2018152304
173	0.2011357472
174	0.2005881203
175	0.199822767
176	0.1994220467
177	0.1988200701
178	0.1978502134
179	0.1970600402
180	0.1962239962
181	0.1956429738
182	0.1951022537
183	0.1943328334
184	0.1939303583
185	0.1935358325
186	0.1930975765
187	0.1925226451
188	0.1920333141
189	0.1913309287
190	0.1908169853
191	0.1905404792
192	0.19003652
193	0.1895241938
194	0.1889459264
195	0.188734948
196	0.1881531619
197	0.1876440799
198	0.1870170355
199	0.1865948634
200	0.1860274084
201	0.1855913967
202	0.1850853435
203	0.1844944242
204	0.1839332209
205	0.183300904
206	0.1825481783
207	0.1821258329
208	0.1815317807
209	0.1813780973
210	0.1807811699
211	0.180218198
212	0.1798163397
213	0.1794756184
214	0.1789087593
215	0.1783092369
216	0.1778340392
217	0.1773725108
218	0.1766473309
219	0.1764769036
220	0.175805621
221	0.1751060941
222	0.1746585137
223	0.1738708431
224	0.1731357559
225	0.1727895006
226	0.1724092481
227	0.1719260219
228	0.1716140297
229	0.1712229169
230	0.1703252001
231	0.1697686393
232	0.1693269195
233	0.168865106
234	0.1685080977
235	0.1681293856
236	0.1677522936
237	0.167212662
238	0.1667502569
239	0.1662751825
240	0.1656910749
241	0.165148271
242	0.164593762
243	0.1641489547
244	0.1636049908
245	0.1629316435
246	0.1625871839
247	0.1622668765
248	0.1617715178
249	0.161260092
250	0.1609379378
251	0.160343717
252	0.159918763
253	0.1593909162
254	0.1590911837
255	0.1589359582
256	0.1582322574
257	0.1577992814
258	0.1573787939
259	0.156880098
260	0.1564879715
261	0.1562084995
262	0.1559267865
263	0.1555337195
264	0.1548978839
265	0.1545387396
266	0.1540965563
267	0.1538430458
268	0.1534876931
269	0.1530993699
270	0.1526730339
271	0.1525364545
272	0.1519805794
273	0.1514767297
274	0.1511676719
275	0.1509012606
276	0.1502137859
277	0.1496358034
278	0.1491995554
279	0.1487488708
280	0.1483165991
281	0.1478315677
282	0.1475885331
283	0.1473550459
284	0.1469117433
285	0.1464878024
286	0.1461885277
287	0.1457693708
288	0.1455585257
289	0.1453433457
290	0.1450980421
291	0.1448422134
292	0.1446656359
293	0.1443268648
294	0.1439351395
295	0.1436098326
296	0.1432320954
297	0.1431070831
298	0.1427771584
299	0.1424366881
300	0.1421916992
301	0.1417017404
302	0.141205366
303	0.1409157019
304	0.1407250748
305	0.1404960121
306	0.1401279414
307	0.1397768869
308	0.1394727259
309	0.1391361127
310	0.1388412993
311	0.1384659119
312	0.138191545
313	0.1379584492
314	0.1377348832
315	0.1375655761
316	0.137336925
317	0.1371022641
318	0.1367050342
319	0.1364054555
320	0.1362949251
321	0.1360408491
322	0.1357284745
323	0.1354616371
324	0.1350868398
325	0.1347898563
326	0.134493439
327	0.1341876748
328	0.1338150159
329	0.1334993624
330	0.1330826772
331	0.1326055019
332	0.1323896513
333	0.1320689571
334	0.1319485603
335	0.131740092
336	0.1314213641
337	0.1311028673
338	0.1306191826
339	0.130522479
340	0.130308813
341	0.1299905938
342	0.1295238933
343	0.1292959607
344	0.1291137078
345	0.128767927
346	0.1285487688
347	0.1282977523
348	0.128046517
349	0.1278866657
350	0.1277675992
351	0.1275252709
352	0.1272896943
353	0.1270409861
354	0.126872264
355	0.1266264379
356	0.1264081878
357	0.1261899749
358	0.1261038548
359	0.12576837
360	0.1255636661
361	0.1253195203
362	0.1250002462
363	0.1247478382
364	0.1244942047
365	0.1243811752
366	0.1240669568
367	0.123766467
368	0.1235911964
369	0.1232425104
370	0.1230109176
371	0.1227674495
372	0.1224102084
373	0.1220543785
374	0.1217655937
375	0.1215908916
376	0.1214346526
377	0.1212486352
378	0.1210898556
379	0.120928828
380	0.1207784701
381	0.1206405864
382	0.1205070877
383	0.120084296
384	0.1198699791
385	0.1195656666
386	0.1193237851
387	0.1191355904
388	0.1189216012
389	0.1186081907
390	0.1182173882
391	0.1179338151
392	0.1177530582
393	0.1176207168
394	0.1173878325
395	0.1171617066
396	0.1169201596
397	0.1166607463
398	0.116352745
399	0.116147726
400	0.1158810376
401	0.1156308626
402	0.115382964
403	0.1151542091
404	0.1149976939
405	0.114785568
406	0.1146306468
407	0.114533369
408	0.1142866733
409	0.1141804055
410	0.1140903972
411	0.113854969
412	0.1136661276
413	0.1134507419
414	0.1131916191
415	0.1130378604
416	0.1129018087
417	0.1126664271
418	0.112542115
419	0.1124345827
420	0.1122288301
421	0.1120913785
422	0.1118942092
423	0.1117964275
424	0.1116452931
425	0.1112900121
426	0.1109532012
427	0.1106659952
428	0.1105363268
429	0.1103371337
430	0.1100677362
431	0.1098732274
432	0.1097020443
433	0.1094785546
434	0.1092274434
435	0.1089830772
436	0.1087705982
437	0.1086120141
438	0.1085985949
439	0.10835048
440	0.1080835821
441	0.1078767469
442	0.1077377712
443	0.1074585706
444	0.10728429
445	0.107071331
446	0.1067285371
447	0.1067167138
448	0.1064680501
449	0.1063514236
450	0.1061863105
451	0.1060667984
452	0.1057700014
453	0.1055637617
454	0.1055530452
455	0.1053713996
456	0.1052638087
457	0.1051751288
458	0.1051415363
459	0.1049864922
460	0.1047766182
461	0.1045563928
462	0.1043547259
463	0.1043462569
464	0.1042110131
465	0.1040270365
466	0.1038260269
467	0.103699959
468	0.1035375483
469	0.1034043146
470	0.1032705895
471	0.1030516385
472	0.1029401596
473	0.1028486543
474	0.1024412078
475	0.1023224059
476	0.102067799
477	0.1017524343
478	0.1015347109
479	0.1013562749
480	0.1011601345
481	0.1010419274
482	0.1008745513
483	0.1006839381
484	0.1005074676
485	0.100306238
486	0.1001235408
487	0.09999143905
488	0.09994804266
489	0.099694853
490	0.09943380438
491	0.09928596155
492	0.09909138281
493	0.09893045757
494	0.09885791136
495	0.09873032668
496	0.0985154548
497	0.09827896807
498	0.09817400706
499	0.0981111245
500	0.09793307727
501	0.09780965278
502	0.09767279316
503	0.09748966814
504	0.0972343745
505	0.09706275851
506	0.09690658863
507	0.09666838057
508	0.09645168292
509	0.09630371689
510	0.09616878504
511	0.09608278498
512	0.09594634436
513	0.09581298903
514	0.09565436696
515	0.09549016674
516	0.09529649042
517	0.09518758534
518	0.09500681833
519	0.0949010752
520	0.09466778209
521	0.09455047592
522	0.09446974609
523	0.09425776652
524	0.09407203435
525	0.09392571486
526	0.09377533034
527	0.09358139321
528	0.09338909697
529	0.09325223983
530	0.09315391821
531	0.09292292904
532	0.09284543752
533	0.09278379199
534	0.09265674491
535	0.09252664469
536	0.09218502569
537	0.09211868516
538	0.09193966755
539	0.09188187219
540	0.0917118719
541	0.09154115124
542	0.09143072752
543	0.0912657416
544	0.09104983417
545	0.09093818538
546	0.0908579167
547	0.0907767646
548	0.09058618695
549	0.090502743
550	0.09029238895
551	0.09017157721
552	0.09010147986
553	0.09002443379
554	0.08987764879
555	0.08972472496
556	0.08958523339
557	0.08944203534
558	0.08936419168
559	0.08922945587
560	0.08912580324
561	0.08899287788
562	0.08891656469
563	0.08884853321
564	0.0885916602
565	0.08846074473
566	0.08832158009
567	0.08818130189
568	0.0881107652
569	0.08797517176
570	0.0879094961
571	0.08782560875
572	0.08768097482
573	0.08757109335
574	0.08744292768
575	0.08737286445
576	0.08726213497
577	0.08713120055
578	0.08696625634
579	0.08685025285
580	0.08677947502
581	0.08658591076
582	0.08643284265
583	0.08631526747
584	0.08617221963
585	0.08603740144
586	0.08584879569
587	0.08570977342
588	0.08558358501
589	0.08548961697
590	0.08543846548
591	0.08533013059
592	0.08522678816
593	0.08515598964
594	0.08499360938
595	0.08485793637
596	0.08474469693
597	0.08458086225
598	0.08454011469
599	0.08432075789
600	0.08419874088
601	0.08410795523
602	0.08399357605
603	0.08388243621
604	0.08381530129
605	0.08359051349
606	0.08348901448
607	0.08342604104
608	0.08329271614
609	0.0832487016
610	0.08316361289
611	0.0829461847
612	0.08281915164
613	0.082728078
614	0.08266379789
615	0.08254876829
616	0.08240618742
617	0.08235756324
618	0.08229551791
619	0.08222412482
620	0.08216883337
621	0.08204036843
622	0.0818843044
623	0.08177267024
624	0.08164381798
625	0.0815862165
626	0.08153864785
627	0.08141165862
628	0.08128760189
629	0.0810788108
630	0.08095816229
631	0.08088129295
632	0.08078295273
633	0.08074503693
634	0.08063494871
635	0.0805522674
636	0.08048217759
637	0.08039888802
638	0.08031540445
639	0.08018513413
640	0.08008144369
641	0.07990310028
642	0.07979920963
643	0.07976129757
644	0.0795891284
645	0.07948828847
646	0.07937556973
647	0.07927084523
648	0.07917040731
649	0.07908245873
650	0.0788784211
651	0.07874760532
652	0.07867599727
653	0.07853786936
654	0.07837717872
655	0.07820627788
656	0.07801988586
657	0.07790556433
658	0.07780282887
659	0.07773255337
660	0.07769676166
661	0.07762537574
662	0.07752760815
663	0.07749841268
664	0.07737315041
665	0.07726887973
666	0.07721015152
667	0.07709152152
668	0.07701084526
669	0.07694152288
670	0.0768348616
671	0.07673513203
672	0.07662299383
673	0.07650783052
674	0.07648449654
675	0.07638583862
676	0.07629339376
677	0.07625072772
678	0.07611141837
679	0.07602458929
680	0.07593854027
681	0.07581515897
682	0.0757099573
683	0.07567114336
684	0.07557949196
685	0.07546650505
686	0.07540050735
687	0.07531515839
688	0.07522445519
689	0.07515583394
690	0.07506580687
691	0.0750300514
692	0.07495495937
693	0.07481136895
694	0.07468319612
695	0.07457629673
