iter	Passed	Remaining
186	420	1826
187	421	1821
188	424	1822
189	426	1819
190	428	1816
191	431	1815
192	433	1810
193	435	1808
194	437	1804
195	439	1802
196	441	1798
197	443	1795
198	444	1790
199	447	1789
200	449	1785
201	451	1783
202	453	1781
203	455	1777
204	456	1770
205	459	1770
206	462	1771
207	464	1767
208	466	1764
209	468	1760
210	469	1757
211	471	1753
212	474	1752
213	476	1750
214	478	1746
215	480	1742
216	481	1737
217	484	1738
218	486	1734
219	488	1732
220	490	1729
221	491	1723
222	494	1721
223	497	1721
224	499	1719
225	501	1718
226	503	1714
227	506	1714
228	508	1711
229	509	1704
230	511	1703
231	514	1702
232	515	1698
233	517	1694
234	518	1688
235	520	1685
236	521	1680
237	524	1679
238	526	1677
239	530	1678
240	532	1678
241	534	1673
242	535	1668
243	537	1665
244	539	1662
245	541	1659
246	543	1657
247	545	1653
248	547	1650
249	549	1649
250	551	1647
251	553	1643
252	555	1639
253	556	1633
254	558	1633
255	560	1629
256	562	1626
257	564	1623
258	566	1621
259	569	1620
260	570	1616
261	573	1616
262	575	1613
263	578	1611
264	579	1607
265	582	1608
266	585	1606
267	587	1604
268	589	1602
269	592	1601
270	594	1599
271	596	1596
272	598	1593
273	600	1591
274	602	1588
275	604	1585
276	606	1582
277	609	1582
278	611	1580
279	613	1576
280	614	1573
281	616	1570
282	618	1567
283	620	1564
284	622	1561
285	625	1561
286	628	1561
287	629	1557
288	631	1554
289	634	1553
290	636	1549
291	637	1545
292	639	1543
293	642	1542
294	643	1538
295	645	1535
296	647	1531
297	648	1527
298	651	1526
299	653	1523
300	654	1519
301	656	1516
302	657	1512
303	659	1509
304	661	1507
305	663	1504
306	664	1500
307	666	1497
308	667	1493
309	669	1489
310	671	1487
311	673	1485
312	675	1483
313	677	1480
314	679	1477
315	680	1473
316	682	1470
317	684	1467
318	686	1465
319	688	1463
320	690	1459
321	692	1457
322	693	1454
323	696	1452
324	698	1450
325	700	1449
326	702	1446
327	704	1442
328	710	1448
329	713	1447
330	718	1452
331	721	1451
332	725	1452
333	728	1452
334	732	1455
335	735	1452
336	738	1452
337	742	1453
338	745	1452
339	748	1453
340	751	1451
341	753	1449
342	755	1446
343	757	1444
344	759	1441
345	761	1438
346	763	1436
347	765	1435
348	767	1431
349	769	1428
350	771	1425
351	773	1423
352	776	1422
353	779	1422
354	781	1420
355	784	1418
356	786	1415
357	788	1413
358	789	1410
359	791	1406
360	793	1404
361	795	1401
362	797	1398
363	799	1396
364	800	1393
365	803	1392
366	805	1390
367	808	1387
368	809	1385
369	812	1383
370	814	1380
371	815	1377
372	818	1375
373	820	1372
374	822	1370
375	825	1369
376	827	1367
377	829	1365
378	832	1363
379	834	1360
380	836	1359
381	838	1357
382	840	1354
383	842	1351
384	844	1348
385	845	1344
386	847	1341
387	848	1338
388	850	1335
389	852	1332
390	854	1330
391	857	1329
392	860	1328
393	863	1328
394	866	1326
395	868	1324
396	869	1321
397	872	1319
398	875	1318
399	877	1316
400	879	1314
401	881	1311
402	883	1309
403	885	1305
404	886	1303
405	889	1301
406	891	1299
407	893	1297
408	896	1294
409	898	1292
410	901	1292
411	904	1290
412	906	1288
413	908	1285
414	910	1283
415	913	1282
416	916	1281
417	917	1278
418	920	1276
419	921	1273
420	924	1270
421	927	1270
422	929	1267
423	932	1266
424	934	1264
425	936	1262
426	939	1260
427	941	1257
428	942	1254
429	944	1252
430	946	1249
431	948	1246
432	949	1243
433	951	1241
434	952	1237
435	955	1235
436	956	1232
437	958	1230
438	960	1227
439	963	1226
440	966	1224
441	968	1222
442	969	1219
443	971	1216
444	974	1215
445	976	1212
446	978	1209
447	979	1207
448	982	1205
449	983	1202
450	984	1198
451	986	1196
452	988	1193
453	991	1192
454	994	1190
455	995	1187
456	997	1185
457	999	1183
458	1001	1180
459	1003	1177
460	1004	1174
461	1006	1171
462	1007	1168
463	1009	1166
464	1011	1164
465	1014	1162
466	1016	1160
467	1018	1158
468	1020	1155
469	1021	1151
470	1023	1149
471	1025	1147
472	1027	1145
473	1029	1142
474	1031	1140
475	1033	1137
476	1035	1135
477	1038	1133
478	1039	1130
479	1042	1129
480	1045	1128
481	1048	1127
482	1050	1124
483	1052	1122
484	1055	1120
485	1057	1117
486	1059	1115
487	1062	1114
488	1064	1111
489	1065	1109
490	1068	1107
491	1069	1104
492	1071	1101
493	1073	1100
494	1075	1096
495	1077	1095
496	1079	1092
497	1081	1090
498	1084	1088
499	1086	1086
500	1089	1084
501	1090	1082
502	1092	1079
503	1094	1076
504	1097	1076
505	1100	1074
506	1101	1071
507	1104	1069
508	1106	1067
509	1108	1065
510	1111	1063
511	1113	1061
512	1115	1058
513	1117	1056
514	1120	1055
515	1122	1053
516	1125	1051
517	1127	1049
518	1129	1047
519	1131	1044
520	1133	1042
521	1135	1040
522	1137	1037
523	1140	1036
524	1142	1033
525	1144	1031
526	1147	1029
527	1148	1027
528	1151	1025
529	1153	1022
530	1155	1020
531	1157	1018
532	1159	1015
533	1161	1013
534	1162	1010
535	1164	1007
536	1167	1006
537	1169	1004
538	1170	1001
539	1172	999
540	1175	997
541	1176	994
542	1178	991
543	1180	989
544	1182	986
545	1183	984
546	1186	982
547	1188	980
548	1190	978
549	1192	976
550	1195	974
551	1197	971
552	1199	969
553	1201	967
554	1204	965
555	1206	963
556	1208	961
557	1210	959
558	1213	957
559	1215	955
560	1217	952
561	1218	950
562	1221	947
563	1223	945
564	1227	944
565	1229	942
566	1232	941
567	1235	939
568	1238	937
569	1240	935
570	1242	933
571	1245	932
572	1247	929
573	1249	927
574	1251	925
575	1254	923
576	1256	921
577	1258	918
578	1261	917
579	1262	914
580	1265	912
581	1266	909
582	1267	906
583	1270	904
584	1272	902
585	1274	900
586	1275	897
587	1276	894
588	1280	893
589	1282	891
590	1284	889
591	1287	887
592	1289	884
593	1291	882
594	1293	880
595	1296	878
596	1299	877
597	1301	875
598	1304	873
599	1306	871
600	1309	869
601	1310	866
602	1313	864
603	1314	861
604	1317	860
605	1318	857
606	1320	854
607	1323	853
608	1325	851
609	1327	848
610	1329	846
611	1332	844
612	1334	842
613	1336	840
614	1338	837
615	1339	835
616	1341	832
617	1344	830
618	1346	828
619	1347	825
620	1349	823
621	1351	821
622	1352	818
623	1354	816
624	1356	813
625	1358	811
626	1359	809
627	1361	806
628	1362	803
629	1365	801
630	1367	799
631	1368	797
632	1370	794
633	1371	791
634	1373	789
635	1376	787
636	1379	785
637	1380	783
638	1381	780
639	1382	777
640	1384	775
641	1386	773
642	1388	770
643	1389	768
644	1391	766
645	1393	763
646	1395	761
647	1396	758
648	1398	756
649	1400	754
650	1403	752
651	1405	750
652	1408	748
653	1410	746
654	1412	743
655	1414	741
656	1416	739
657	1418	737
658	1420	734
659	1422	732
660	1423	730
661	1425	727
662	1427	725
663	1429	723
664	1431	721
665	1433	719
666	1436	716
667	1437	714
668	1439	712
669	1441	709
670	1442	707
671	1445	705
672	1446	702
673	1448	700
674	1451	698
675	1453	696
676	1456	694
677	1458	692
678	1460	690
679	1462	688
680	1463	685
681	1466	683
682	1468	681
683	1470	679
684	1472	677
685	1474	675
686	1477	673
687	1479	670
688	1481	668
689	1483	666
690	1485	664
691	1488	662
692	1489	660
693	1492	657
694	1494	655
695	1495	653
696	1497	651
697	1499	648
698	1502	646
699	1504	644
700	1505	642
701	1507	640
702	1509	637
703	1511	635
704	1513	633
705	1515	631
706	1517	628
707	1519	626
708	1520	624
709	1522	622
710	1525	619
711	1527	618
712	1529	615
713	1531	613
714	1533	611
715	1536	609
716	1537	606
717	1539	604
718	1541	602
719	1544	600
720	1546	598
721	1549	596
722	1551	594
723	1554	592
724	1557	590
725	1559	588
726	1562	586
727	1564	584
728	1566	582
729	1568	580
730	1570	577
731	1571	575
732	1573	573
733	1575	570
734	1578	569
735	1581	567
736	1587	566
737	1591	564
738	1596	563
739	1599	562
740	1603	560
741	1606	558
742	1611	557
743	1615	555
744	1619	554
745	1625	553
746	1629	551
747	1631	549
748	1633	547
749	1636	545
750	1639	543
751	1642	541
752	1645	539
753	1648	537
754	1651	536
755	1656	534
756	1661	533
757	1665	531
758	1669	530
759	1672	528
760	1675	526
761	1678	524
762	1681	522
763	1683	520
764	1687	518
765	1691	516
766	1695	514
767	1697	512
768	1701	510
769	1704	509
770	1708	507
771	1712	505
772	1717	504
773	1719	502
774	1725	500
775	1729	499
776	1733	497
777	1738	496
778	1740	493
779	1743	491
780	1744	489
781	1747	487
782	1749	484
783	1751	482
784	1753	480
785	1755	477
786	1757	475
787	1759	473
788	1761	471
789	1763	468
790	1768	467
791	1770	464
792	1771	462
793	1774	460
794	1775	457
795	1777	455
796	1779	453
797	1781	450
798	1783	448
799	1786	446
800	1788	444
801	1790	442
802	1792	439
803	1794	437
804	1796	435
805	1798	432
806	1799	430
807	1802	428
808	1803	425
809	1806	423
810	1808	421
811	1811	419
812	1812	416
813	1814	414
814	1816	412
815	1818	410
816	1820	407
817	1822	405
818	1824	403
819	1826	400
820	1827	398
821	1830	396
822	1833	394
823	1834	391
824	1836	389
825	1838	387
826	1841	385
827	1843	382
828	1846	380
829	1848	378
830	1851	376
831	1854	374
832	1856	372
833	1858	369
834	1860	367
835	1863	365
836	1865	363
837	1866	360
838	1867	358
839	1869	356
840	1870	353
841	1873	351
842	1874	349
843	1876	346
844	1878	344
845	1879	342
846	1882	340
847	1884	337
848	1886	335
849	1888	333
850	1891	331
851	1893	328
852	1895	326
853	1896	324
854	1899	322
855	1901	319
856	1902	317
857	1905	315
858	1906	312
859	1908	310
860	1911	308
861	1913	306
862	1915	304
863	1917	301
864	1919	299
865	1922	297
866	1926	295
867	1930	293
868	1934	291
869	1939	289
870	1945	288
871	1951	286
872	1957	284
873	1961	282
874	1964	280
875	1970	278
876	1976	277
877	1982	275
878	1986	273
879	1989	271
880	1993	269
881	1996	267
882	1998	264
883	2001	262
884	2006	260
885	2010	258
886	2013	256
887	2016	254
888	2019	252
889	2024	250
890	2029	248
891	2032	246
892	2035	243
893	2039	241
894	2043	239
895	2048	237
896	2053	235
897	2057	233
898	2061	231
899	2067	229
900	2072	227
901	2077	225
902	2082	223
903	2087	221
904	2090	219
905	2094	217
906	2100	215
907	2104	213
908	2108	211
909	2112	208
910	2116	206
911	2120	204
912	2124	202
913	2127	200
914	2131	198
915	2134	195
916	2138	193
917	2143	191
918	2146	189
919	2150	187
920	2154	184
921	2157	182
922	2161	180
923	2165	178
924	2168	175
925	2172	173
926	2175	171
927	2180	169
928	2184	166
929	2190	164
930	2198	162
931	2203	160
932	2207	158
933	2210	156
934	2214	153
935	2218	151
936	2221	149
937	2224	147
938	2227	144
939	2230	142
940	2233	140
941	2237	137
942	2241	135
943	2246	133
944	2251	131
945	2255	128
946	2260	126
947	2263	124
948	2265	121
949	2270	119
950	2274	117
951	2277	114
952	2281	112
953	2284	110
954	2288	107
955	2293	105
956	2297	103
957	2301	100
958	2304	98
959	2309	96
960	2313	93
961	2315	91
962	2320	89
963	2324	86
964	2329	84
965	2333	82
966	2336	79
967	2339	77
968	2342	74
969	2346	72
970	2351	70
971	2355	67
972	2360	65
973	2366	63
974	2368	60
975	2370	58
976	2373	55
977	2375	53
978	2377	50
979	2379	48
980	2380	46
981	2383	43
982	2385	41
983	2388	38
984	2390	36
985	2392	33
986	2395	31
987	2397	29
988	2399	26
989	2402	24
990	2404	21
991	2406	19
992	2409	16
993	2411	14
994	2414	12
995	2416	9
996	2419	7
997	2422	4
998	2425	2
999	2428	0
